Ticker,Sector,Market Cap,P/E,P/S,P/B,P/C,P/FCF,Outstanding,Float,Inst Own,Float Short,Short Ratio,ROA,ROE,Curr R,Debt/Eq,Perf Week,Perf Month,Perf Year,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,Gap,Rel Volume,Price,Change,Volume
TYHT,Healthcare,11.04M,-,0.53,0.18,0.48,-,3.04M,2.48M,4.60%,1.29%,0.17,-7.30%,-8.70%,4.60,0.04,15.61%,32.01%,-28.33%,10.03%,8.96%,9.91%,19.32%,13.01%,-7.53%,38.23%,-47.06%,92.86%,62.63,1.25%,0.94,4.05,1.25%,27918
TYME,Healthcare,307.86M,-,-,20.55,15.87,-,128.05M,66.15M,13.10%,3.39%,0.32,-127.00%,-219.10%,3.60,0.01,25.56%,63.77%,50.67%,26.52%,18.11%,19.77%,60.23%,86.39%,-52.77%,153.44%,-52.77%,177.29%,56.85,6.19%,11.25,2.36,4.29%,12492565
TYO,Financial,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.75%,4.18%,-19.39%,0.97%,1.39%,0.74%,2.81%,5.33%,-2.41%,6.74%,-19.26%,10.36%,58.86,-0.02%,0.96,8.39,0.22%,1647
TZA,Financial,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-13.69%,-29.77%,-85.91%,6.60%,6.32%,-11.05%,-28.69%,-71.62%,-49.39%,-0.52%,-95.99%,-0.52%,30.72,-2.92%,2.01,4.76,-0.73%,8960258
UAMY,Basic Materials,59.21M,-,9.71,6.33,34.83,-,73.24M,59.64M,4.50%,1.94%,0.23,-25.90%,-42.20%,0.70,0.08,-10.71%,33.35%,81.84%,10.61%,15.64%,-3.13%,29.51%,66.00%,-26.84%,110.66%,-26.84%,246.65%,53.00,4.09%,3.49,0.76,0.11%,2861147
UBFO,Financial,120.48M,13.17,3.55,1.00,0.37,14.17,16.98M,13.31M,31.00%,1.02%,4.67,1.20%,10.10%,-,0.09,-0.43%,2.66%,-30.67%,2.44%,4.19%,-2.08%,-2.36%,6.75%,-13.00%,4.50%,-31.90%,38.10%,47.77,0.00%,0.39,6.96,0.29%,1792
UBX,Healthcare,351.37M,-,-,3.57,2.66,-,52.48M,48.44M,56.50%,6.29%,3.72,-56.90%,-84.60%,8.00,0.25,12.46%,21.23%,1.21%,5.80%,7.18%,4.21%,11.53%,8.38%,-9.54%,35.41%,-56.41%,147.43%,60.15,2.25%,1.18,6.73,0.75%,154077
UEC,Energy,348.54M,-,-,4.46,20.87,-,189.96M,184.82M,27.60%,9.23%,5.39,-15.10%,-21.00%,4.70,0.27,6.10%,-5.43%,101.20%,9.62%,8.72%,-1.14%,7.42%,48.37%,-20.28%,76.89%,-20.28%,394.29%,51.58,0.57%,0.95,1.73,-0.57%,480963
UEPS,Technology,312.63M,-,2.23,1.13,1.49,-,56.10M,52.87M,45.70%,1.02%,1.13,-,-,6.50,0.02,8.40%,13.87%,25.17%,6.38%,4.50%,-4.64%,9.00%,34.35%,-18.89%,46.75%,-18.89%,76.65%,47.33,-4.98%,5.14,4.77,-12.00%,390919
UFAB,Consumer Cyclical,76.18M,-,0.63,2.01,33.12,21.16,9.78M,8.59M,39.90%,0.85%,2.69,-4.10%,-12.20%,2.00,1.41,-3.49%,24.35%,74.30%,3.98%,3.65%,1.54%,19.05%,80.50%,-4.66%,84.77%,-4.66%,396.19%,60.12,0.00%,0.68,7.16,-0.56%,2941
